top - 16:09:54 up  1:10,  1 user,  load average: 0,33, 0,52, 0,73
Tasks: 193 total,   2 running, 146 sleeping,   0 stopped,   0 zombie
%Cpu0  : 20,4 us,  1,6 sy,  1,1 ni, 76,7 id,  0,1 wa,  0,0 hi,  0,0 si,  0,0 st
%Cpu1  : 20,7 us,  1,5 sy,  0,3 ni, 77,3 id,  0,2 wa,  0,0 hi,  0,1 si,  0,0 st
%Cpu2  : 20,3 us,  2,2 sy,  0,1 ni, 77,1 id,  0,1 wa,  0,0 hi,  0,1 si,  0,0 st
%Cpu3  : 21,4 us,  1,7 sy,  0,2 ni, 76,5 id,  0,2 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 11322608 total,  7531072 free,  2154472 used,  1637064 buff/cache
  260 root      20   0   45904   4620   2992 S   0,0  0,0   0:00.61 systemd-ud+
  263 root      20   0       0      0      0 I   0,0  0,0   0:00.11 kworker/1:2
  309 root      20   0       0      0      0 I   0,0  0,0   0:00.00 kworker/2:3
  333 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop0
  334 root       0 -20       0      0      0 S   0,0  0,0   0:00.15 loop1
  337 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop2
  340 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop3
  399 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 iprt-VBoxW+
  424 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 ttm_swap
  795 message+  20   0   44280   5224   3584 S   0,0  0,0   0:00.78 dbus-daemon
  796 root      20   0  487216  14728  12432 S   0,0  0,1   0:00.28 NetworkMan+
  800 root      20   0  277428   6460   5704 S   0,0  0,1   0:00.16 accounts-d+
  803 root      20   0  413520   8500   6784 S   0,0  0,1   0:00.04 ModemManag+
  815 root      20   0    4396   1212   1128 S   0,0  0,0   0:00.44 acpid
  822 root      20   0   28624   3056   2692 S   0,0  0,0   0:00.04 systemd-lo+
  823 avahi     20   0   44916   3212   2888 S   0,0  0,0   0:00.05 avahi-daem+
  839 root      20   0   30540   3208   2928 S   0,0  0,0   0:00.01 cron
  840 syslog    20   0  256392   3352   2740 S   0,0  0,0   0:00.05 rsyslogd
  841 root      20   0  489336  26756  14932 S   0,0  0,2   0:02.92 snapd
